New Delhi



Residential


Multistorey Apartment

Aashirwaad Chowk
8868,6370,Jul-Sep'13
8624,6359,Oct-Dec'13
9113,6334,Jan-Mar'14
9423,5922,Oct-Dec'14
9290,6015,Jan-Mar'15
9299,6496,Apr-Jun'15
9194,6470,Jul-Sep'15
8843,6196,Oct-Dec'15
8673,6063,Jan-Mar'16
8549,6137,Apr-Jun'16
8589,5799,Jul-Sep'16
8217,5731,Oct-Dec'16
7831,5843,Jan-Mar'17

Dwarka Sector 18
5001,4754,Jan-Mar'09
5605,5447,Jul-Sep'09
5669,5543,Oct-Dec'09
5748,5623,Jan-Mar'10
6016,5826,Apr-Jun'10
6314,6112,Jul-Sep'10
7129,6161,Oct-Dec'10
7334,7037,Jan-Mar'11
7410,7006,Apr-Jun'11
8005,7262,Jul-Sep'11
11387,7536,Jul-Sep'12
10789,6754,Oct-Dec'12
11360,8091,Jan-Mar'13
11360,7550,Apr-Jun'13
11042,7212,Jul-Sep'13
10706,7413,Oct-Dec'13
10319,7534,Jan-Mar'14
10519,7851,Apr-Jun'14
10575,7632,Jul-Sep'14
10533,7526,Oct-Dec'14
10184,7421,Jan-Mar'15
10278,7542,Apr-Jun'15
10226,7395,Jul-Sep'15
10189,7120,Oct-Dec'15
10072,6983,Jan-Mar'16
9969,6919,Apr-Jun'16
9747,6953,Jul-Sep'16
9832,6801,Oct-Dec'16
9465,6547,Jan-Mar'17

Dwarka Sector 18B
4879,4683,Jan-Mar'09
5063,4869,Jul-Sep'09
5936,5091,Oct-Dec'09
5942,5209,Jan-Mar'10
5595,5075,Apr-Jun'10
5571,5392,Jul-Sep'10
5932,5726,Oct-Dec'10
6540,6283,Jan-Mar'11
6970,6634,Apr-Jun'11
7668,7212,Jul-Sep'11
8320,7773,Oct-Dec'11
10758,7130,Apr-Jun'12
10215,6857,Jul-Sep'12
10084,6410,Oct-Dec'12
10478,7136,Jan-Mar'13
10303,7046,Apr-Jun'13
10923,7161,Jul-Sep'13
10185,7027,Oct-Dec'13
10332,6689,Jan-Mar'14
10145,6768,Apr-Jun'14
10207,7197,Jul-Sep'14
9744,6733,Oct-Dec'14
9844,6502,Jan-Mar'15
9608,6501,Apr-Jun'15
9696,6533,Jul-Sep'15
9264,6295,Oct-Dec'15
9340,6321,Jan-Mar'16
9059,6186,Apr-Jun'16
9201,6274,Jul-Sep'16
9032,6206,Oct-Dec'16
8794,5995,Jan-Mar'17

Dwarka Sector 19
4406,3934,Jan-Mar'08
5087,4802,Jan-Mar'09
5048,4851,Jul-Sep'09
5111,4934,Oct-Dec'09
5201,5027,Jan-Mar'10
5214,5030,Apr-Jun'10
6094,5396,Jul-Sep'10
6146,5873,Oct-Dec'10
6674,6302,Jan-Mar'11
8371,6317,Apr-Jun'11
10781,6511,Jul-Sep'11
11754,7263,Oct-Dec'11
9177,6485,Jan-Mar'12
9218,6880,Apr-Jun'12
10145,7152,Jul-Sep'12
9916,6526,Oct-Dec'12
9927,7086,Jan-Mar'13
10866,7171,Apr-Jun'13
10849,7259,Jul-Sep'13
11036,7295,Oct-Dec'13
10664,7335,Jan-Mar'14
10702,7481,Apr-Jun'14
10635,7528,Jul-Sep'14
10653,7372,Oct-Dec'14
10258,7280,Jan-Mar'15
10236,7287,Apr-Jun'15
10238,7154,Jul-Sep'15
9963,6849,Oct-Dec'15
9787,6761,Jan-Mar'16
9720,6836,Apr-Jun'16
9587,6765,Jul-Sep'16
9431,6632,Oct-Dec'16
9170,6479,Jan-Mar'17

Dwarka Sector 2
5960,5223,Jan-Mar'09
5555,5252,Jul-Sep'09
5902,5414,Oct-Dec'09
5722,5400,Jan-Mar'10
6912,5880,Apr-Jun'10
7755,6463,Jul-Sep'10
7525,7111,Oct-Dec'10
7851,7439,Jan-Mar'11
7860,7381,Apr-Jun'11
8348,7701,Jul-Sep'11
9405,8506,Oct-Dec'11
11251,7425,Jan-Mar'12
10291,7499,Apr-Jun'12
11185,8044,Jul-Sep'12
11070,7569,Oct-Dec'12
11400,8283,Jan-Mar'13
11211,7942,Apr-Jun'13
11017,7848,Jul-Sep'13
10609,7598,Oct-Dec'13
11345,7694,Jan-Mar'14
10841,7547,Apr-Jun'14
10559,7662,Jul-Sep'14
10407,7583,Oct-Dec'14
10204,7453,Jan-Mar'15
10233,7555,Apr-Jun'15
10100,7409,Jul-Sep'15
10086,7187,Oct-Dec'15
10326,7245,Jan-Mar'16
9998,7140,Apr-Jun'16
9711,6943,Jul-Sep'16
9542,6771,Oct-Dec'16
9718,6829,Jan-Mar'17

Dwarka Sector 22
9799,5133,Jan-Mar'08
5581,5438,Jan-Mar'09
5436,5349,Jul-Sep'09
5610,5427,Oct-Dec'09
5663,5496,Jan-Mar'10
5731,5589,Apr-Jun'10
6421,6182,Jul-Sep'10
7016,6715,Oct-Dec'10
7843,7460,Jan-Mar'11
8291,7834,Apr-Jun'11
9593,7935,Jul-Sep'11
10658,8588,Oct-Dec'11
11125,7405,Jan-Mar'12
11414,8012,Apr-Jun'12
11697,8075,Jul-Sep'12
12335,8168,Oct-Dec'12
12175,8137,Jan-Mar'13
12457,8183,Apr-Jun'13
12086,8027,Jul-Sep'13
11791,7724,Oct-Dec'13
11462,7701,Jan-Mar'14
11366,7883,Apr-Jun'14
11387,7878,Jul-Sep'14
10823,7556,Oct-Dec'14
10572,7392,Jan-Mar'15
10781,7366,Apr-Jun'15
10616,7224,Jul-Sep'15
10535,7234,Oct-Dec'15
10373,7053,Jan-Mar'16
10234,7044,Apr-Jun'16
10192,7064,Jul-Sep'16
10240,7041,Oct-Dec'16
9990,6962,Jan-Mar'17

Dwarka Sector 23
5336,5092,Jan-Mar'09
5483,5153,Jul-Sep'09
5654,5303,Oct-Dec'09
5753,5394,Jan-Mar'10
6162,5803,Apr-Jun'10
7927,6950,Oct-Dec'10
8138,7260,Jan-Mar'11
8426,7455,Apr-Jun'11
8146,7714,Jul-Sep'11
9348,8708,Oct-Dec'11
10791,7523,Jan-Mar'12
11566,8704,Apr-Jun'12
10737,8288,Jul-Sep'12
11323,7910,Oct-Dec'12
11366,8142,Jan-Mar'13
11067,7799,Apr-Jun'13
10610,7531,Jul-Sep'13
11523,7702,Oct-Dec'13
10964,7699,Jan-Mar'14
10579,7450,Apr-Jun'14
10505,7351,Jul-Sep'14
10355,7523,Oct-Dec'14
9892,7494,Jan-Mar'15
9897,7345,Apr-Jun'15
9862,7007,Jul-Sep'15
9591,6898,Oct-Dec'15
9855,6452,Jan-Mar'16
9675,6487,Apr-Jun'16
9392,6728,Jul-Sep'16
9468,6623,Oct-Dec'16
8976,6300,Jan-Mar'17

Dwarka Sector 3
5427,4922,Jan-Mar'09
5408,5094,Jul-Sep'09
5363,5250,Oct-Dec'09
5591,5213,Jan-Mar'10
5511,5411,Apr-Jun'10
5907,5786,Jul-Sep'10
6468,6327,Oct-Dec'10
7069,6524,Jan-Mar'11
7771,6545,Apr-Jun'11
8403,6958,Jul-Sep'11
8413,7773,Oct-Dec'11
9824,6500,Jan-Mar'12
10694,7446,Apr-Jun'12
10244,7499,Jul-Sep'12
10357,7135,Oct-Dec'12
10972,7538,Jan-Mar'13
10956,7516,Apr-Jun'13
10378,7463,Jul-Sep'13
10250,7209,Oct-Dec'13
10053,7164,Jan-Mar'14
9879,7071,Apr-Jun'14
10272,6982,Jul-Sep'14
9976,6719,Oct-Dec'14
9647,6674,Jan-Mar'15
9754,6665,Apr-Jun'15
9608,6751,Jul-Sep'15
9226,6445,Oct-Dec'15
9869,6765,Jan-Mar'16
10032,6667,Apr-Jun'16
9466,6360,Jul-Sep'16
8998,5865,Oct-Dec'16
8741,6070,Jan-Mar'17

Dwarka Sector 4
4346,4071,Jan-Mar'08
6333,5380,Jan-Mar'09
5305,5168,Jul-Sep'09
